timestamp,x,y,z,qx,qy,qz,qw
000095,55.077663,-2.7907882,0.6263377,0.8833273,-0.030952638,-0.010725276,-0.4676108
000096,55.409954,-3.3948905,0.64668435,0.8699085,-0.031245518,-0.010263115,-0.4921155
000097,55.57685,-3.743102,0.6433497,0.8554819,-0.02840579,-0.0106861945,-0.5169427
000098,55.759094,-4.0576944,0.70841557,0.84017,-0.02871945,-0.00799103,-0.5415032
000099,55.968636,-4.461065,0.7297447,0.82484245,-0.031332947,-0.005000299,-0.5644716
000100,55.997738,-4.755717,0.76602423,0.80963457,-0.03195545,-0.0049380776,-0.58604294
000101,56.129112,-5.2859173,0.8090975,0.79504853,-0.028941456,-0.0061637163,-0.60582364
000102,56.183617,-5.756615,0.7996877,0.7814536,-0.023703866,-0.009637344,-0.6234385
000103,56.295704,-6.3211727,0.84924877,0.767515,-0.020690342,-0.011267288,-0.64059794
000104,56.349613,-6.8143396,0.8771318,0.75514054,-0.019552309,-0.012866525,-0.655145
000105,56.35682,-7.361285,0.90481424,0.7445048,-0.017110473,-0.016114866,-0.6672032
000106,56.39858,-7.9145827,0.92614686,0.73449075,-0.01461994,-0.01798092,-0.6782229
000107,56.446503,-8.467887,0.94235736,0.72564465,-0.012808184,-0.018719584,-0.68769574
000108,56.48193,-9.078426,0.9871148,0.7188683,-0.010315836,-0.019724874,-0.69478977
000109,56.521797,-9.602348,1.0025362,0.7126562,-0.010293648,-0.020795278,-0.7011297
000110,56.485153,-10.217306,1.0288635,0.7083009,-0.0097589,-0.02088567,-0.70553416
000111,56.480534,-10.768492,1.056595,0.70402366,-0.009478625,-0.021437032,-0.70978963
000112,56.431824,-11.439168,1.1097953,0.70086116,-0.008590135,-0.023513822,-0.7128583
000113,56.434475,-11.987142,1.1230005,0.6981151,-0.007962145,-0.02580739,-0.71547604
000114,56.387157,-12.699966,1.1537343,0.69665456,-0.00718502,-0.02630127,-0.7168885
000115,56.382248,-13.394185,1.1815671,0.69508606,-0.0073385043,-0.02461678,-0.7184675
000116,56.361237,-14.075248,1.1899676,0.6941509,-0.0058227354,-0.022441523,-0.719456
000117,56.38271,-14.730483,1.2566149,0.6932248,-0.0027845674,-0.019880984,-0.7204419
